word,vens-a,vens-b
ehrhardt,ẽhrhầrdt,ẽ̱h̰rhầrd̰t
ehrhart,ẽhrhầrt,ẽ̱h̰rhầrt
ehrich,ẽhrích,ẽ̱h̰rích̰
ehrig,ẽhríg,ẽ̱h̰ríg
ehrke,ẽhrke,ẽ̱h̰rkḛ
ehrler,ẽhrler,ẽ̱h̰rler
ehrlich,ehrlích,ḛh̰ṟlích̰
ehrlich's,ehrlích's,ḛh̰ṟlích̰'̰s
ehrlichman,ehrlíchmạn,ḛh̰ṟlích̰mạn
ehrman,ẽhrmạn,ẽ̱h̰rmạn
ehrmann,ẽhrmạnn,ẽ̱h̰rmạnn
ehrsam,ẽhrsạm,ẽ̱h̰rsạm
ehud,ẽhùd,ẽhù̱d
eiben,eībẹn,ḛī̱bẹn
eich,eīch,ḛī̱ch̰
eichberg,eīchberg,ḛī̱ch̰berg
eichel,eīchẹl,ḛī̱ch̰ẹl
eichelberger,eīchẹlberger,ḛī̱ch̰ẹlberger
eichen,eīchẹn,ḛī̱ch̰ẹn
eichenbaum,eīchẹnbaum,ḛī̱ch̰ẹnba̳um
eichenberg,eīchẹnberg,ḛī̱ch̰ẹnberg
eichenberger,eīchẹnberger,ḛī̱ch̰ẹnberger
eichenlaub,eīchénlaub,ḛī̱ch̰énlaub
eicher,eīcher,ḛī̱ch̰er
eichholz,eīchhōlz,ḛī̱chh̰ōlz
eichhorn,eīchhorn,ḛī̱chh̰orn
eichhorst,eīchhổrst,ḛī̱chh̰ổrst
eichinger,eīchínger,ḛī̱ch̰ínger
eichler,eīchler,ḛī̱ch̰ler
eichman,eīchmạn,ḛī̱ch̰mạn
eichmann,eīchmạnn,ḛī̱ch̰mạnn
eichner,eīchner,ḛī̱ch̰ner
eicholtz,eīchōltz,ḛī̱ch̰ōltz
eichorn,eīchổrn,ḛī̱ch̰ổrn
eichorst,eīchổrst,ḛī̱chổrst
eichstadt,eīchstẫdt,ḛī̱ch̰stẫd̰t
eichstaedt,eīchstẫedt,ḛī̱ch̰stẫḛd̰t
eick,eīck,ḛī̱ck
eickhoff,eīckhổff,ḛī̱ckhổ̳ff
eickholt,eīckhōlt,ḛī̱ckhō̳lt
eickmeyer,eīckmeȳer,ḛī̱ckmḛȳer
eid,eīd,ḛī̱d
eide,eīde,ḛī̱dḛ
eidem,eīdém,ḛī̱dém
eiden,eīdẹn,ḛī̱dẹn
eidson,eïdsọn,ḛï̱dsọn
eiermann,eīermạnn,ḛī̱ḛrmạnn
eifert,eīfert,ḛī̱fert
eiffel,eīffẹl,ḛī̱ffẹl
eifler,eīfler,ḛī̱fler
eigen,eīgẹn,ḛī̱gẹn
eigenvalue,eīgẹnvẫlue,ḛī̱gẹnvẫ̳luḛ
eigenvalues,eīgẹnvẫlues,ḛī̱gẹnvẫ̳luḛs
eighmey,eighmeÿ,e̱ig̰h̰mḛÿ
eighmy,eighmÿ,e̱igh̰mÿ
eight,eight,e̱ig̰h̰t
eight's,eight's,e̱ig̰h̰t'̰s
eighteen,eightếen,e̱ig̰h̰tế̱ḛn
eighteen's,ēighteến's,ēḭg̰h̰tḛế̱n's
eighteens,ēighteếns,ēḭg̰h̰tḛế̱ns
eighteenth,eightếenth,e̱ig̰h̰tế̱ḛnth
eightfold,eightfōld,e̱ig̰h̰tfō̳ld
eighth,eighth,e̱ig̰h̰th
eighths,eighths,e̱ig̰h̰ths
eighties,eightïes,e̱ig̰h̰tïḛs
eightieth,eightïéth,e̱ig̰h̰tïéth
eights,eights,e̱ig̰h̰ts
eighty,eightÿ,e̱ig̰h̰tÿ
eighty's,eightÿ's,e̱ig̰h̰tÿ's
eigner,eīgner,ḛī̱gner
eiichi,ēïichï,ēï̱ḭchï
eiji,eijï,e̱ijï
eike,eīke,ḛī̱kḛ
eikenberry,eïkẹnbẽrrÿ,ḛï̱kẹnbẽrr̰ÿ
eilan,eīlạn,ḛī̱lạn
eiland,eīlạnd,ḛī̱lạnd
eileen,eīlếen,ḛīlế̱ḛn
eiler,eīler,ḛī̱ler
eilerman,eīlermạn,ḛī̱lermạn
eilers,eīlers,ḛī̱lers
eilert,eīlert,ḛī̱lert
eiley,eīleÿ,ḛī̱lḛÿ
eilts,eīlts,ḛī̱lts
eimer,eīmer,ḛī̱mer
eimers,eīmers,ḛī̱mers
ein,eīn,ḛī̱n
einar,eīnar,ḛī̱nar
einbender,eīnbẽnder,ḛī̱nbẽ̳nder
eindhoven,eīndhōvẹn,ḛī̱ndhō̳vẹn
einhorn,eīnhổrn,ḛī̱nhổ̳rn
einon,eīnổn,ḛī̱nổn
einon's,eīnổn's,ḛī̱nổn's
einspahr,eīnspầhr,ḛī̱nspầh̰r
einstein,eīnsteīn,ḛī̱nstḛīn
einstein's,eīnsteīn's,ḛī̱nstḛīn's
eir,eīr,ḛī̱r
eirena,eirēnạ,ḛirē̱nạ
eirich,eīrích,ḛī̱rích̰
eis,eīs,ḛī̱s
eisa,eisạ,e̱isạ
eisai,eīsaī,ḛī̱sa̰ī̳
eisaman,eīsạmạn,ḛī̱sạmạn
eischeid,eīscheīd,ḛī̱sch̰ḛīd
eischen,eīschẹn,ḛī̱sch̰ẹn
eischens,eīschẹns,ḛī̱sch̰ẹns
eisel,eīsẹl,ḛī̱sẹl
eisele,eīsẹle,ḛī̱sẹlḛ
eiseman,eīsemạn,ḛī̱sḛmạn
eisemann,eīsemạnn,ḛī̱sḛmạnn
eisen,eīsẹn,ḛī̱sẹn
eisenach,eīsẹnầch,ḛī̱sẹnầ̳ch̰
eisenbach,eīsẹnbầch,ḛī̱sẹnbầch̰
eisenbarth,eīsẹnbầrth,ḛī̱sẹnbầrth
eisenbeis,eīsẹnbeīs,ḛī̱sẹnbḛīs
eisenberg,eīsẹnberg,ḛī̱sẹnberg
eisenberger,eīsẹnberger,ḛī̱sẹnberger
eisenbraun,eīsẹnbraun,ḛī̱sẹnbraun
eisenhardt,eīsẹnhầrdt,ḛī̱sẹnhầrd̰t
eisenhart,eīsẹnhầrt,ḛī̱sẹnhầrt
eisenhauer,eīsẹnhauer,ḛī̱sẹnhauer
eisenhour,eīsẹnhour,ḛī̱sẹnh̰our
eisenhower,eīsẹnhower,ḛī̱sẹnho̳wer
eisenhower's,eīsẹnhower's,ḛī̱sẹnho̳wer's
eisenhowers,eīsẹnhowers,ḛī̱sẹnho̳wers
eisenhut,eīsẹnhụt,ḛī̱sẹnhụt
eisenhuth,eīsẹnhüth,ḛī̱sẹnhüth
eisenman,eīsẹnmạn,ḛī̱sẹnmạn
eisenmann,eīsẹnmạnn,ḛī̱sẹnmạnn
eisenmenger,eīsẹnmẽnger,ḛī̱sẹnmẽnger
eisenstadt,eīsẹnstẫdt,ḛī̱sẹnstẫd̰t
eisenstein,eīsẹnsteïn,ḛī̱sẹnstḛïn
eiserman,eīsermạn,ḛī̱sermạn
eisert,eīsert,ḛī̱sert
eishi,eishï,e̱ishï
eisin,eīsịn,ḛī̱sịn
eisinger,eīsínger,ḛī̱sínger
eisler,eīsler,ḛī̱sler
eisman,eīsmạn,ḛī̱smạn
eisner,eīsner,ḛī̱sner
eisner's,eīsner's,ḛī̱sner's
eison,eīsọn,ḛī̱sọn
eissler,eīssler,ḛī̱ssler
eiszner,eīszner,ḛī̱s̰zner
eitel,eītẹl,ḛī̱tẹl
either,eīther,ḛī̱ther
eitzen,eītzẹn,ḛī̱tzẹn
eizenstat,eīzẹnstẫt,ḛī̱zẹnstẫ̳t
ejaculate,éjẫculāte,éjẫ̱culā̳tḛ
ejaculation,ếjẫculātiọn,ếjẫ̳culā̱tiọn
eject,éjẽct,éjẽ̱ct
ejected,éjẽctéd,éjẽ̱ctéd
ejecting,éjẽctíng,éjẽ̱ctíng
ejection,éjẽctiọn,éjẽ̱ctiọn
ejects,éjẽcts,éjẽ̱ct̰s
ejup,ếjüp,ế̱jüp
ejup's,ếjüp's,ế̱jüp'̰s
ek,ếk,ế̱ḵ
eka,ẽkạ,ẽ̱kạ
ekaterina,ēkầtẽrïnạ,ēkầtẽrï̱nạ
ekberg,ẽkberg,ẽ̱kberg
ekblad,ẽkblẫd,ẽ̱kblẫ̳d
ekco,ẽkcō,ẽ̱kc̰ō
ekdahl,ẽkdầhl,ẽ̱kdầ̳h̰l
eke,ếke,ế̱kḛ
eked,ếked,ế̱ked
ekern,ẽkern,ẽ̱kern
ekeus,ếkeüs,ế̳kḛü̱s
ekholm,ẽkhōlm,ẽ̱khō̳lm
eking,ếkíng,ế̱kíng
ekins,ẽkíns,ẽ̱kíns
ekk,ếkk,ế̱ḵḵ
ekkehard,ẽkkehầrd,ẽ̱kkḛhầ̳rd
eklund,ẽklụnd,ẽ̱klụnd
ekman,ẽkmạn,ẽ̱kmạn
eko,ẽkō,ẽ̱kō
ekofisk,ẽkọfísk,ẽ̱kọfísk
eksportfinans,ẽkspổrtfínạns,ẽ̱kspổ̳rtfínạns
ekstrand,ẽkstrạnd,ẽ̱kstrạnd
ekstrom,ẽkstrọm,ẽ̱kstrọm
el,ẽl,ẽ̱l
el-al,ẽl-ẫl,ẽ̱l-̰ẫ̱l
el-greco,ẽl-grẽcō,ẽ̱l-̰grẽ̱cō
el-nino,ẽl-nïno,ẽ̱l-̰nï̱no
el-paso,ẽl-pẫsō,ẽ̱l-̰pẫ̱sō
el-salvador,ẽl-sẫlvạdổr,ẽ̱l-̰sẫ̱lvạdổ̳r
ela,ẽlạ,ẽ̱lạ
elaborate,élẫborāte,élẫ̱borā̳tḛ
elaborated,élẫborātẹd,élẫ̱borātẹd
elaborately,élẫborạtelÿ,élẫ̱bo̰rạtḛlÿ
elaborates,élẫborātes,élẫ̱borā̳tḛs
elaborating,élẫborātíng,élẫ̱borā̳tíng
elaboration,élẫborātiọn,élẫ̳borā̱tiọn
elaina,élainạ,éla̱inạ
elaine,ếlaine,ế̳la̱inḛ
elaine's,élaine's,éla̱inḛ's
elaire,élaire,éla̱irḛ
elam,ẽlạm,ẽ̱lạm
elamin,ẽlạmín,ẽ̱lạmín
elan,ếlạn,ế̱lạn
eland,ếlạnd,ế̱lạnd
elane,élāne,élā̱nḛ
elapse,élẫpse,élẫ̱psḛ
elapsed,élẫpsed,élẫ̱psed
elardo,ẽlầrdō,ẽlầ̱rdō
elastic,élẫstíc,élẫ̱stíc
elasticity,ếlẫstícịtÿ,ế̳lẫ̳stí̱cịtÿ
elastomer,élẫstọmer,élẫ̱stọmer
elastomers,élẫstọmers,élẫ̱stọmers
elat,ẽlẫt,ẽlẫ̱t
elata,ẽlầtạ,ẽlầ̱tạ
elate,élāte,élā̱tḛ
elated,élātéd,élā̱téd
elater,élāter,é̱lāter
elaters,élāters,é̱lāters
elates,élātes,élā̱tḛs
elating,élātíng,élā̱tíng
elation,élātiọn,élā̱tiọn
elayne,élayne,éla̱ynḛ
elbaum,ẽlbaum,ẽ̱lba̳um
elbe,ẽlbe,ẽ̱lbḛ
elber,ẽlber,ẽ̱lber
elberson,ẽlbersọn,ẽ̱lbersọn
elbert,ẽlbert,ẽ̱lbert
elberta,ẽlbẽrtạ,ẽlbẽ̱rtạ
elbertine,ẽlbertïne,ẽ̱lbertï̳nḛ
elbow,ẽlbow,ẽ̱lbo̳w
elbowed,ẽlbowed,ẽ̱lbo̳wḛd
elbowing,ẽlbowíng,ẽ̱lbo̳wíng
elbowroom,ẽlbowroom,ẽ̱lbo̳wro̳om
elbows,ẽlbows,ẽ̱lbo̳ws
elbrick,ẽlbríck,ẽ̱lbríck
elbrick's,ẽlbríck's,ẽ̱lbríck'̰s
elbrus,ẽlbrụs,ẽ̱lbrụs
elchibey,ẽlchịbey,ẽ̱lchịbey
elco,ẽlcō,ẽ̱lcō
elcock,élcồck,élcồ̱ck
elcor,ẽlcổr,ẽ̱lcổ̳r
elcotel,ẽlcōtẽl,ẽ̱lcōtẽ̳l
eldar,ẽldầr,ẽ̱ldầ̳r
elden,ẽldẹn,ẽ̱ldẹn
elder,ẽlder,ẽ̱lder
elderkin,ẽlderkín,ẽ̱lderkín
elderly,ẽlderlÿ,ẽ̱lderlÿ
elderly's,ẽlderlÿ's,ẽ̱lderlÿ's
elderman,ẽldermạn,ẽ̱ldermạn
elders,ẽlders,ẽ̱lders
elders',ẽlders',ẽ̱lders'̰
elders's,ẽlders's,ẽ̱lders's
eldest,ẽldẹst,ẽ̱ldẹst
eldin,ẽldín,ẽ̱ldín
eldon,éldồn,éldồ̱n
eldora,ẽldổrạ,ẽldổ̱rạ
eldorado,ẽldorầdō,ẽ̳ldorầ̱dō
eldorado's,ẽldorầdō's,ẽ̳ldorầ̱dō's
eldred,ẽldred,ẽ̱ldrḛd
eldredge,éldrẽdge,éldrẽ̱dgḛ
eldreth,éldrẽth,éldrẽ̱th
eldric,ẽldríc,ẽ̱ldríc
eldrida,ẽldrïdạ,ẽldrï̱dạ
eldridge,ẽldrídge,ẽ̱ldrí̳dgḛ
eldritch,ẽldrítch,ẽ̱ldrít̰ch
eldwin,éldwín,éldwí̱n
eleanor,ẽleạnor,ẽ̱lḛạnor
eleanor's,ẽleạnor's,ẽ̱lḛạnor's
eleanora,ẽleạnổrạ,ẽ̳lḛạnổ̱rạ
eleanore,ẽleạnổre,ẽ̱lḛạnổrḛ
eleazer,ẽleạzer,ẽ̱lḛạzer
elect,élẽct,élẽ̱ct
elect's,élẽct's,élẽ̱ct'̰s
electability,élẽctạbílịtÿ,élẽ̳ctạbí̱lịtÿ
electable,élẽctạble,élẽ̱ctạblḛ
elected,élẽctéd,élẽ̱ctéd
electing,élẽctíng,élẽ̱ctíng
election,élẽctiọn,élẽ̱ctiọn
election's,élẽctiọn's,élẽ̱ctiọn's
electioneer,élẽctiọnéer,élẽ̳ctiọné̱ḛr
electioneering,élẽctiọnéeríng,élẽ̳ctiọné̱ḛríng
electioneers,élẽctiọnéers,élẽ̳ctiọné̱ḛrs
elections,élẽctiọns,élẽ̱ctiọns
elective,élẽctíve,élẽ̱ctívḛ
electives,élẽctíves,élẽ̱ctívḛs
elector,élẽctor,élẽ̱ctor
electoral,élẽctorạl,élẽ̱ctorạl
electorate,élẽctoráte,élẽ̱cto̰rátḛ
electorate's,élẽctorạte's,élẽ̱ctorạtḛ'̰s
electorates,élẽctorạtes,élẽ̱ctorạtḛs
electors,élẽctors,élẽ̱ctors
electra,élẽctrạ,élẽ̱ctrạ
electric,élẽctríc,élẽ̱ctríc
electric's,élẽctríc's,élẽ̱ctríc'̰s
electrical,élẽctrícạl,élẽ̱ctrícạl
electrically,élẽctrícallÿ,élẽ̱ctríca̰llÿ
electricals,élẽctrícạls,élẽ̱ctrícạls
electricar,élẽctrícầr,élẽ̱ctrícầ̳r
electrician,élẽctríciạn,élẽctrí̱ciạn
electricians,élẽctríciạns,élẽctrí̱ciạns
electricians',élẽctríciạns',élẽctrí̱ciạns'̰
electricite,ẹlẽctrícítē,ẹlẽ̳ctrí̱cí̳tē
electricity,élẽctrícịtÿ,élẽ̳ctrí̱cịtÿ
electrics,élẽctrícs,élẽ̱ctrícs
electrification,élẽctrịfícātiọn,élẽ̳ctrịfícā̱tiọn
electrified,élẽctrịfīed,élẽ̱ctrịfī̳ḛd
electrifies,élẽctrịfīes,élẽ̱ctrịfī̳ḛs
electrify,élẽctrịfȳ,élẽ̱ctrịfȳ̳
electrifying,élẽctrịfȳíng,élẽ̱ctrịfȳ̳íng
electrique,ẽlẽctrïque,ẽ̳lẽctrï̱quḛ
electro,élẽctrō,élẽ̱ctrō
electrobiology,élẽctrōbīồlọgÿ,é̳lẽ̳ctrōbīồ̱lọgÿ̳
electrobiology's,élẽctrōbīồlọgÿ's,é̳lẽ̳ctrōbīồ̱lọgÿ̳'s
electrocardiogram,élẽctrōcầrdïọgrẫm,é̳lẽ̳ctrōcầ̱rdïọgrẫ̳m
electrocardiograms,élẽctrōcầrdïọgrẫms,é̳lẽ̳ctrōcầ̱rdïọgrẫ̳ms
electrochemical,elẽctrōchẽmícạl,e̳lẽ̳ctrōch̰ẽ̱mícạl
electrocom,élẽctrōcồm,é̳lẽ̱ctrōcồ̳m
electrocute,élẽctrọcute,é̳lẽ̱ctrọcu̳tḛ
electrocuted,élẽctrọcutéd,é̳lẽ̱ctrọcu̳téd
electrocution,élẽctrọcutiọn,é̳lẽ̳ctrọcu̱tiọn
electrocutions,ẹlẽctrọcutiọns,ẹlẽ̳ctrọcu̱tiọns
electrode,élẽctrōde,é̳lẽ̱ctrōdḛ
electrodes,élẽctrōdes,é̳lẽ̱ctrōdḛs
electrodynamic,élẽctrōdȳnẫmíc,é̳lẽ̳ctrōdȳ̳nẫ̱míc
electrodynamics,élẽctrōdȳnẫmícs,é̳lẽ̳ctrōdȳ̳nẫ̱mícs
electrolux,élẽctrọlụx,élẽ̱ctrọlụx
electrolysis,élẽctrồlỵsịs,élẽ̳ctrồ̱lỵsịs
electrolyte,élẽctrồlȳte,élẽ̳ctrồlȳ̱tḛ
electrolytes,élẽctrồlȳtes,élẽ̳ctrồlȳ̱tḛs
electrolytic,élẽctrọlýtíc,é̳lẽ̳ctrọlý̱tíc
electromagnet,élẽctrōmẫgnẹt,élẽ̳ctrōmẫ̱gnẹt
electromagnetic,élẽctrōmẫgnẽtíc,é̳lẽ̳ctrōmẫgnẽ̱tíc
electromagnetism,élẽctrōmẫgnẹtísm,é̳lẽ̳ctrōmẫ̱gnẹtí̳sm
electromagnets,élẽctrōmẫgnẹts,é̳lẽ̳ctrōmẫ̱gnẹts
electromechanical,élẽctrōmẹchẫnícạl,é̳lẽ̳ctrōmẹch̰ẫ̱nícạl
electromedics,élẽctrōmẽdícs,é̳lẽ̳ctrōmẽ̱dícs
electron,élẽctrồn,é̳lẽ̱ctrồn
electronic,élẽctrồníc,é̳lẽ̳ctrồ̱níc
electronically,élẽctrồnícallÿ,élẽ̳ctrồ̱níca̰llÿ
electronics,élẽctrồnícs,é̳lẽ̳ctrồ̱nícs
electronics',élẽctrồnícs',é̳lẽ̳ctrồ̱nícs'̰
electrons,élẽctrồns,é̳lẽ̱ctrồns
electrophoresis,élẽctrōphorếsís,élẽctrōphorế̱sís
electrophoretogram,élẽctrồphọrẽtọgrẫm,élẽ̳ctrồphọrẽ̱tọgrẫm
electroplate,élẽctrọplāte,é̳lẽ̱ctrọplā̳tḛ
electroplating,élẽctrọplātíng,é̳lẽ̱ctrọplā̳tíng
electroshock,élẽctrōshồck,é̳lẽ̱ctrō̳shồ̳ck
electrosound,élẽctrōsound,é̳lẽ̱ctrōso̳und
electrospace,élẽctrōspāce,é̳lẽ̱ctrōspā̳cḛ
electrospray,élẽctrōspray,é̳lẽ̱ctrōspra̳y
electrostatic,élẽctrōstẫtíc,é̳lẽ̳ctrōstẫ̱tíc
elects,élẽcts,é̳lẽ̱cts
eledge,ẽlédge,ẽ̱lédgḛ
eleemosynary,ẽlẹemổsỵnãrÿ,ẽ̳lẹḛmổ̱sỵnã̳rÿ
eleen,ẽlếen,ẽ̱lế̳ḛn
elefante,ẽlẽfầntế,ẽlẽfầ̱ntế
elegance,ẽlẹgạnce,ẽ̱lẹgạncḛ
elegant,ẽlẹgạnt,ẽ̱lẹgạnt
elegantly,ẽlégạntlÿ,ẽ̱légạntlÿ̳
elegy,ẽlẹgÿ,ẽ̱lẹgÿ̳
elek,ẽlék,ẽ̱lék
elektra,ẽlẽktrạ,ẽlẽ̱ktrạ
elektrisk,élẽktrísk,élẽ̳ktrí̱sk
elektrizitaetswerk,ẽléktrízítẫetswerk,ẽ̳léktrí̱zítẫ̳ḛtswerk
elektron,élẽktrồn,élẽ̱ktrồn
element,ẽlẹmẹnt,ẽ̱lẹmẹnt
elemental,ẽlẹmẽntạl,ẽ̳lẹmẽ̱nt̰ạl
elementary,ẽlẹmẽntarÿ,ẽ̳lẹmẽ̱nta̰rÿ
elements,ẽlẹmẹnts,ẽ̱lẹmẹnts
elena,ẽlēnầ,ẽ̳lē̱nầ
elena's,ẽlẹnạ's,ẽ̱lẹnạ's
elenbaas,ẽlénbầas,ẽ̱lénbầa̰s
elene,ẽlếne,ẽ̱lếnḛ
elenore,ẽlénore,ẽ̱lénorḛ
eleonore,ẽlếọnổrế,ẽlếọnổ̱rế
elephant,ẽlẹphạnt,ẽ̱lẹphạnt
elephant's,ẽlẹphạnt's,ẽ̱lẹphạnt'̰s
elephantiasis,ẽléphạntīạsís,ẽ̳léphạntī̱ạsís
elephantine,ẽlẹphẫntïne,ẽ̳lẹphẫ̱ntï̳nḛ
elephants,ẽlẹphạnts,ẽ̱lẹphạnts
elephants',ẽlẹphạnts',ẽ̱lẹphạnts'̰
eletr,ẽlẹtr,ẽ̱lẹtr
eleuthera,éleütherạ,élḛü̱therạ
elevate,ẽlẹvāte,ẽ̱lẹvā̳tḛ
elevated,ẽlẹvātéd,ẽ̱lẹvā̳téd
elevates,ẽlẹvātes,ẽ̱lẹvā̳tḛs
elevating,ẽlẹvātíng,ẽ̱lẹvā̳tíng
elevation,ẽlẹvātiọn,ẽ̳lẹvā̱tiọn
elevations,ẽlẹvātiọns,ẽ̳lẹvā̱tiọns
elevator,ẽlẹvātor,ẽ̱lẹvā̳tor
elevators,ẽlẹvātors,ẽ̱lẹvā̳tors
eleven,ếlẽvẹn,ế̱lẽvẹn
eleven's,ếlẽvẹn's,ế̱lẽvẹn's
elevens,ếlẽvẹns,ế̱lẽvẹns
eleventh,ếlẽvẹnth,ế̱lẽvẹnth
elexis,ẽlẽxís,ẽlẽ̱xís
eley,ếleÿ,ế̱lḛÿ
elf,ẽlf,ẽ̱lf
elf's,ẽlf's,ẽ̱lf'̰s
elfers,ẽlfers,ẽ̱lfers
elfie,ẽlfïe,ẽ̱lfïḛ
elfin,ẽlfín,ẽ̱lfín
elfish,ẽlfísh,ẽ̱lfísh
elfman,ẽlfmạn,ẽ̱lfmạn
elford,ẽlford,ẽ̱lford
elfreda,ẽlfrẽdạ,ẽlfrẽ̱dạ
elfrida,ẽlfrïdạ,ẽlfrï̱dạ
elfrieda,ẽlfrïedạ,ẽlfrï̱ḛdạ
elfrink,ẽlfrínk,ẽ̱lfrínk
elfstrom,ẽlfstrọm,ẽ̱lfstrọm
elg,ẽlg,ẽ̱lg
elga,élgầ,élgầ̱
elgabrowny,ẽlgạbrownÿ,ẽlgạbro̱wnÿ
elgar,ẽlgar,ẽ̱lgar
elgar's,ẽlgar's,ẽ̱lgar's
elgart,ēlgầrt,ē̱lgầrt
elger,ẽlger,ẽ̱lger
elgersma,ẽlgẽrsmạ,ẽlgẽ̱rsmạ
elgie,ẽlgïe,ẽ̱lgïḛ
elgin,ẽlgín,ẽ̱lgín
eli,ếlī,ế̱lī
elia,ẹlīạ,ẹlī̱ạ
eliades,ếlïādes,ế̱lï̳ādḛs
elias,ẹlīạs,ẹlī̱ạs
eliason,ẹlīạsọn,ẹlī̱ạsọn
eliassen,ẹlīạssẹn,ẹlī̱ạssẹn
elich,ẽlích,ẽ̱lích̰
elicit,élícít,élí̱cít
elicited,élícítéd,élí̱cítéd
eliciting,élícịtíng,élí̱cịtíng
elicits,élícịts,élí̱cịts
elick,ẽlíck,ẽ̱líck
elicker,ẽlícker,ẽ̱lícker
elie,ẽlïe,ẽ̱lïḛ
eligaya,ẽlịgaȳạ,ẽlịga̰ȳ̱ạ
eligibility,ẽlígịbílítÿ,ẽ̳lígịbí̱lítÿ
eligible,ẽlígịble,ẽ̱lígịblḛ
elihu,ẽlíhü,ẽ̱líhü
elijah,ếlījạh,ếlī̱jạh̰
eliminate,élímịnāte,élí̱mịnā̳tḛ
eliminated,élímịnātéd,élí̱mịnā̳téd
eliminates,élímịnātes,élí̱mịnā̳tḛs
eliminating,élímịnātíng,élí̱mịnā̳tíng
elimination,élímịnātiọn,élí̳mịnā̱tiọn
eliminations,élímínātiọns,élí̳mínā̱tiọns
eline,ẽlīne,ẽ̱līnḛ
elinor,ẽlínor,ẽ̱línor
elinore,ẽlïnổrế,ẽlïnổ̱rế
elio,ẽlïō,ẽ̱lïō
eliopoulos,ẽlïồpoulọs,ẽlïồ̱poulọs
eliot,ẽlïọt,ẽ̱lïọt
eliot's,ẽlïọt's,ẽ̱lïọt'̰s
eliott,ẽlïồtt,ẽ̱lïồtt
elisa,ẹlïsạ,ẹlï̱sạ
elisa's,ẹlïsạ's,ẹlï̱sạ's
elisabeth,élísạbéth,élí̱sạbéth
elise,ẹlïse,ẹlï̱sḛ
elish,ẽlísh,ẽ̱lísh
elisha,ẽlíshạ,ẽ̱líshạ
elison,ẽlísọn,ẽ̱lísọn
elissa,ẽlïssạ,ẽlï̱ssạ
elite,ēlïte,ēlï̱tḛ
elites,ēlïtes,ēlï̱tḛs
elitism,ēlïtísm,ēlï̱tí̳sm
elitist,élïtíst,élï̱tíst
elitists,élïtísts,élï̱tísts
elixir,élíxir,élí̱xir
eliza,élīzạ,élī̱zạ
elizabeth,élízạbéth,élí̱zạbéth
elizabeth's,élízạbẹth's,élí̱zạbẹth'̰s
elizabethan,ẽlízạbếthạn,ẽ̳lízạbế̱thạn
elizabethtown,ẹlízạbẽthtown,ẹlí̱zạbẽthto̳wn
elizalde,ẽlïzầldế,ẽlïzầ̱ldế
elizondo,ẽlízồndō,ẽ̳lízồ̱ndō
eljer,ẽljer,ẽ̱ljer
elk,ẽlk,ẽ̱lk
elkes,ẽlkes,ẽ̱lkḛs
elkhart,ẽlkhầrt,ẽ̱lkhầ̳rt
elkhorn,ẽlkhổrn,ẽ̱lkhổ̳rn
elkin,élkín,élkí̱n
elkind,ẽlkínd,ẽ̱lkínd
elkington,ẽlkíngtọn,ẽ̱lkíngtọn
elkins,ẽlkíns,ẽ̱lkíns
elko,ẽlkō,ẽ̱lkō
elks,ẽlks,ẽ̱lks
elkton,ẽlktọn,ẽ̱lktọn
ell,ẽll,ẽ̱ll
ella,ẽllạ,ẽ̱llạ
ella's,ẽllạ's,ẽ̱llạ's
ellamay,ẽllạmay,ẽ̱llạma̳y
ellan,ẽllạn,ẽ̱llạn
ellan's,ẽllạn's,ẽ̱llạn's
ellard,ẽllard,ẽ̱llard
elle,ẽlle,ẽ̱llḛ
elledge,ẽllédge,ẽ̱llédgḛ
ellefson,ẽlléfsọn,ẽ̱lléfsọn
ellegood,ẽllégood,ẽ̱llégood
ellemann,ẽllẹmạnn,ẽ̱llẹmạnn
ellen,ẽllẹn,ẽ̱llẹn
ellen's,ẽllẹn's,ẽ̱llẹn's
ellena,ẽllẽnạ,ẽllẽ̱nạ
ellenbecker,ẽllénbẽcker,ẽ̱llénbẽcker
ellenberg,ẽllẹnberg,ẽ̱llẹnberg
ellenberger,ẽllẹnberger,ẽ̱llẹnberger
ellenbogen,ẽllénbọgẹn,ẽ̱llénbọgẹn
ellenburg,ẽllẹnburg,ẽ̱llẹnburg
ellender,ẽllẽnder,ẽ̱llẽnder
ellene,ẽllếne,ẽ̱llế̳nḛ
ellenpore,ẽllénpổre,ẽ̱llénpổrḛ
ellenson,ẽllénsọn,ẽ̱llénsọn
ellenwood,ẽllẹnwood,ẽ̱llẹnwo̳od
eller,ẽller,ẽ̱ller
ellerbe,ẽllerbe,ẽ̱llerbḛ
ellerbee,éllerbếe,élle̱rbếḛ
ellerbrock,éllerbrọck,élle̱rbrọck
ellerby,ẽllerbÿ,ẽ̱llerbÿ
ellerey,ẽllereÿ,ẽ̱llerḛÿ
ellerman,ẽllermạn,ẽ̱llermạn
ellers,ẽllers,ẽ̱llers
ellert,ẽllert,ẽ̱llert
ellertson,ẽllertsọn,ẽ̱llertsọn
ellery,ẽllerÿ,ẽ̱llerÿ
ellesmere,ẽllesmére,ẽ̱llḛsmé̳rḛ
ellesse,ẽllẽsse,ẽllẽ̱ssḛ
ellestad,ẽlléstạd,ẽ̱lléstạd
ellett,ẽllétt,ẽ̱llétt
ellette,éllẽtte,éllẽ̱ttḛ
